"","n_genes","min_corr","gene"
"225",225,0.965131072822489,"Twist1"
"226",226,0.96180144356882,"Ptges3l"
"227",227,0.963730784008567,"Tpcn1"
"228",228,0.965549302450787,"Mras"
"229",229,0.965698563715295,"P2rx1"
"230",230,0.966133188783876,"Aadac"
"231",231,0.966826733458739,"Col26a1"
"232",232,0.966847585801738,"Adora2b"
"233",233,0.966874501275842,"Trf"
"234",234,0.967510169513171,"Upk1b"
"235",235,0.967810211925646,"Tfap2a"
"236",236,0.968334158712003,"Mki67"
"237",237,0.965250438955911,"Dkk2"
"238",238,0.967227775305549,"Plagl1"
"239",239,0.96357935383201,"Igfbp3"
"240",240,0.965368665574041,"Pxdc1"
"241",241,0.967750296900535,"C77080"
"242",242,0.968662750153499,"Pitx1"
"243",243,0.966798388318041,"Fam171a2"
"244",244,0.968416826716147,"Ptpn18"
"245",245,0.968703986602179,"Chaf1b"
"246",246,0.9574726128989,"Dmtn"
"247",247,0.957962875301736,"Cygb"
"248",248,0.960909539916688,"Hhip"
"249",249,0.967098974169311,"Bgn"
"250",250,0.967766863371433,"Ubxn2a"
"251",251,0.963049627610465,"Rab30"
"252",252,0.968265405083321,"Msn"
"253",253,0.963381829523593,"Lhx5"
"254",254,0.964619357203005,"Tgfb1"
"255",255,0.965760435054269,"Gyg"
"256",256,0.968057905500789,"Esrra"
"257",257,0.968482996622326,"Zmynd10"
